Parameter,4,6,8,10,12,14,16,20,24
Beat Angle,41.8,41.8,40.0,38.5,38.0,37.7,38.1,38.4,39.8
Beat VMG,2.70,3.70,4.44,4.83,5.01,5.12,5.19,5.24,5.12
52,4.14,5.55,6.50,6.96,7.15,7.26,7.34,7.42,7.38
60,4.37,5.80,6.73,7.18,7.38,7.49,7.57,7.65,7.65
75,4.52,5.96,6.87,7.36,7.64,7.80,7.92,8.08,8.16
90,4.48,5.94,6.88,7.34,7.71,7.99,8.21,8.52,8.70
110,4.55,6.11,7.18,7.71,8.00,8.26,8.49,8.89,9.21
120,4.42,6.00,7.11,7.72,8.20,8.54,8.83,9.38,9.94
135,3.82,5.36,6.61,7.40,7.94,8.47,9.03,10.38,11.69
150,3.23,4.55,5.68,6.65,7.36,7.87,8.38,9.56,11.93
Run VMG,2.79,3.94,4.92,5.76,6.49,7.07,7.55,8.49,10.33
Gybe Angle,142.8,142.8,146.6,149.8,157.6,164.8,167.5,165.5,143.6
